From,To,Weight,Percentage
Cay hang nam,Cay lau nam,2237,0.05451842464418015
Cay hang nam,Dat xay dung,155,0.003777539481380386
Cay hang nam,Lua,1487,0.03624000779879119
Cay hang nam,Lua tom,12,0.00029245466952622346
Cay hang nam,Rung,275,0.00670208617664262
Cay hang nam,Thuy san,15,0.00036556833690777927
Cay lau nam,Cay hang nam,2255,0.054957106648469485
Cay lau nam,Dat xay dung,3997,0.09741177617469292
Cay lau nam,Lua,2657,0.06475433807759798
Cay lau nam,Lua tom,85,0.0020715539091440828
Cay lau nam,Rung,779,0.018985182296744004
Cay lau nam,Thuy san,17,0.0004143107818288165
Dat xay dung,Cay hang nam,1677,0.04087054006628973
Dat xay dung,Cay lau nam,3516,0.08568921817118347
Dat xay dung,Lua,2987,0.07279684148956912
Dat xay dung,Lua tom,11,0.00026808344706570484
Dat xay dung,Rung,987,0.024054396568531877
Dat xay dung,Thuy san,21,0.000511795671670891
Lua,Cay hang nam,1634,0.03982257750048743
Lua,Cay lau nam,4615,0.11247319165529343
Lua,Dat xay dung,329,0.008018132189510627
Lua,Lua tom,7,0.00017059855722363032
Lua,Rung,296,0.0072138818483135116
Lua,Song,27,0.0006580230064340027
Lua,Thuy san,75,0.0018278416845388965
Song,Cay hang nam,1888,0.04601286800545915
Song,Cay lau nam,3816,0.09300058490933905
Song,Dat xay dung,910,0.022177812439071944
Song,Lua,2682,0.06536361863911094
Song,Lua tom,1,2.4371222460518618e-05
Song,Rung,448,0.01091830766231234
Thuy san,Cay hang nam,215,0.0052398128290115035
Thuy san,Cay lau nam,348,0.00848118541626048
Thuy san,Dat xay dung,98,0.002388379801130825
Thuy san,Lua,432,0.010528368102944044
Thuy san,Lua tom,11,0.00026808344706570484
Thuy san,Rung,30,0.0007311366738155585
